id,sex,gender,age,weight,wght18,height,phys,aspirin,vitc,vite,multivit,calcium,blood,chol,health,smoke100,sm100age,cursmoke,wtchange,exhrs,exintens,degree,program,mstatus,mage,agepub,minschool,travel,techhrs,wkdaysleep,wkendsleep,bmicat
84,2,2,27,165,155,66,4,1,2,1,1,1,1,1,4,No,,3,2,2,3,3,3,2,,10,15,1,12,8,9,2
128,2,2,27,153,140,66,1,1,2,2,2,1,1,1,1,No,,3,1,2,3,3,1,2,,23,30,2,4,5,7,1
230,2,2,26,130,124,63,1,1,1,1,1,1,1,1,5,No,,3,1,3,3,3,3,2,,23,25,2,3,8,10,1
315,2,2,27,128,115,63,1,1,2,2,2,2,1,1,5,No,,3,2,3,3,3,1,2,,19,15,3,7,7,9,1
211,2,2,34,135,122,66,2,1,1,1,1,1,1,1,5,No,,3,1,2,3,3,2,1,28,26,5,1,10,8,8,1
358,2,2,33,172,165,68,1,1,1,1,2,1,1,1,5,No,,3,1,2,3,3,1,1,26,21,30,3,10,6,8,2
354,2,2,29,116,108,65,1,1,2,1,1,1,1,1,5,No,,3,2,3,3,3,3,1,23,28,20,3,5,7,9,1
95,2,2,27,100,100,62,1,1,1,1,1,1,1,1,1,No,,3,3,2,3,3,1,2,,22,15,3,8,7,7,1
307,2,2,26,135,122,64,1,1,1,1,2,1,1,1,1,No,,3,1,1,1,3,1,2,,16,45,3,8,8,10,1
125,1,1,29,260,300,77,4,1,1,1,1,1,1,1,3,No,,3,2,3,3,3,1,2,,20,40,3,2,7,7,3
3,1,1,28,200,170,71,4,1,1,1,1,1,1,1,1,No,,3,2,4,4,3,1,2,,23,15,4,6,7,9,2
9,2,2,32,112,130,68,1,1,1,1,1,1,1,1,5,No,,3,1,2,2,3,1,2,,20,15,1,12,7,9,1
348,2,2,25,165,170,70,1,1,2,1,1,1,1,1,3,No,,3,1,3,3,3,1,2,,22,30,1,6,7,7,1
52,2,2,39,125,125,67,1,,,,2,,,,5,No,,3,2,3,4,3,3,1,35,36,10,3,14,7,7,1
355,2,2,27,101,90,63,1,1,1,1,1,1,1,1,3,Yes,25,3,2,4,3,3,3,2,,25,30,3,10,7,8,1
229,2,2,27,103,110,60,1,2,,,2,2,,,1,No,,3,2,3,4,3,3,2,,25,10,1,8,7,9,1
298,2,2,35,105,102,63,1,1,1,1,2,1,1,1,3,No,,3,1,3,4,3,1,2,,26,30,3,12,8,8,1
301,2,2,29,125,130,65,1,1,2,1,1,1,1,1,1,No,,3,1,3,4,3,1,2,,21,90,3,8,8,7,1
132,2,2,29,155,135,63,1,1,1,1,1,1,1,1,1,Yes,18,3,2,1,1,3,1,2,,17,15,1,5,8,8,2
333,2,2,28,161,140,60,1,1,1,1,1,1,1,1,1,No,,3,2,1,2,3,3,2,,20,5,1,8,6,8,3
172,2,2,25,175,160,69,1,1,1,1,2,1,1,1,1,No,,3,2,3,3,3,1,2,,20,20,3,10,9,9,2
97,2,2,27,132,115,64,1,1,1,1,1,1,1,1,3,No,,3,2,1,1,3,7,2,,20,12,1,10,7,9,1
